年份,变量,均值,中位数,标准差,最小值,最大值,样本量
2000,Lev,0.43314424275922386,0.4234594720329791,0.1767702068490402,0.0986515097993954,0.9177003586654618,1157
2000,SL,0.3723045057454662,0.3535321359981346,0.17047160916021595,0.0780213927188394,0.8888490712530182,1151
2000,LL,0.05776102982236163,0.027955375844993552,0.07815258131513264,-0.0197578863482362,0.4042551080006766,1146
2000,SDR,0.869747279335084,0.9352084360900172,0.1624459139436197,0.3168231199106484,1.049858158346837,1151
2000,Cash,0.1615383157690282,0.12817340241388614,0.126626683383341,0.0036238425271073,0.5741320817652035,1154
2000,ROA,0.038086095103697815,0.0447357063423717,0.05279077255631324,-0.1912606703693167,0.152589377875614,1157
2000,ROE,0.0431628686725166,0.0764623448169613,0.20089735503613115,-1.2164818887408717,0.2691512084158438,1157
2000,SLoan,0.1622895665742722,0.1437996324295671,0.12022902223293884,0.0,0.5202492582289666,1151
2000,LLoan,0.047942362844892415,0.0180750555354675,0.06661186343707233,0.0,0.298830884689275,1141
2000,Size,20.9435262135053,20.876959491054308,0.864262474008229,18.556068340551377,25.596342070389976,1176
2000,Age,0.9266375545851528,1.0,0.2608444372448206,0.0,1.0,1145
2001,Lev,0.44350342145823934,0.4359995131120611,0.1816974473445174,0.0919279338945161,0.927328829671899,1233
2001,SL,0.37759163183005945,0.3659894523207493,0.1711921961243429,0.072004917422654,0.8391947668028902,1227
2001,LL,0.06279400609548301,0.0313005825620921,0.08321415052415203,0.0,0.4131915192899683,1224
2001,SDR,0.8627519423617126,0.9294349622829164,0.1678849614139501,0.243203340950256,1.0,1227
2001,Cash,0.17576944054226232,0.1443876489847684,0.12328109675905098,0.0035627157268143,0.5599303556690256,1230
2001,ROA,0.023091679417725237,0.0324682379394128,0.06388078580293825,-0.2815921679682424,0.1382217697053157,1233
2001,ROE,0.020948189027146468,0.0613055957903869,0.2021272564406332,-1.300381450913456,0.2484568092984989,1233
2001,SLoan,0.17278968403172484,0.1569528333014443,0.12455700771261796,0.0,0.5137159444657333,1227
2001,LLoan,0.051957322691607535,0.018332479656610952,0.07404849575105003,0.0,0.3480342411512495,1220
2001,Size,21.011054768231453,20.937208609977187,0.9216988770331148,17.389406010530916,26.610186201772457,1258
2001,Age,1.8231404958677686,2.0,0.5032171652453873,0.0,2.0,1210
2002,Lev,0.46213830147104157,0.4537580357692763,0.1800352128753533,0.0910616500952372,0.9357303215609338,1291
2002,SL,0.39651251438303736,0.3853090419801788,0.17153138794872952,0.0670192390708447,0.8389731765912944,1284
2002,LL,0.06272645156929497,0.0309011184933353,0.08213728476473334,0.0,0.3880643277246689,1277
2002,SDR,0.8679352564474508,0.930769649142067,0.16246067946317505,0.3069804419567658,1.0,1284
2002,Cash,0.1647267937132064,0.137570602959528,0.11780132565090203,0.0062178998642435,0.5553263420835024,1287
2002,ROA,0.01721814620723042,0.0282945165677349,0.06864385405664233,-0.3155491960098278,0.1353996930068687,1291
2002,ROE,0.008530880414152689,0.0577826010665086,0.2211705082187511,-1.340043663728004,0.2755503808404993,1291
2002,SLoan,0.17531688211304838,0.163553290924791,0.12770492780081588,0.0,0.5200330720597136,1284
2002,LLoan,0.0507398620907969,0.01757250558916255,0.07422256280857802,0.0,0.347148862791669,1272
2002,Size,21.07539008395791,20.99089006825543,0.9735762570306081,17.553383044716064,26.64124505801634,1319
2002,Age,2.6645865834633384,3.0,0.8135139950917724,0.0,3.0,1282
2003,Lev,0.4773778101010873,0.4822962329006716,0.18637014227478368,0.0737300445717136,0.9380842067304296,1347
2003,SL,0.4059817972903829,0.40049840464117564,0.17562407928659257,0.0553712022404499,0.8113234078353244,1338
2003,LL,0.06794259944607382,0.0347343327522026,0.0888054731624551,0.0,0.4208144078797665,1331
2003,SDR,0.8621557098841085,0.9236704337225567,0.16747700899432325,0.2917158869694658,1.0,1338
2003,Cash,0.16117665377296841,0.13435833672918565,0.11427192218682523,0.005356306015544,0.5517713697290183,1342
2003,ROA,0.022898890635931618,0.026943504915526,0.05930236086796149,-0.2549895931032591,0.1537203902122322,1347
2003,ROE,0.02915261530758808,0.0583328802011017,0.17730968843289666,-1.1290306581560676,0.2654072619357066,1347
2003,SLoan,0.18233169611358643,0.1701632086342863,0.13056217163400666,0.0,0.519330629334314,1339
2003,LLoan,0.05396927260751408,0.0205731106341031,0.07853176714683946,0.0,0.3686325143130183,1329
2003,Top1,0.4255279468675654,0.412759,0.17181881124180085,0.0106059999999999,0.8499840000000001,1261
2003,HHI5,0.2325186450892857,0.20037850000000001,0.1428083727260438,0.02409838,0.6155423700000006,1232
2003,Size,21.172451135884426,21.10367007947656,1.0236168434044126,16.884256317225866,26.945629403827056,1381
2003,Age,3.4043478260869566,4.0,1.2252995114286878,0.0,4.0,1380
