年份,行业代码,行业名称,变量,均值,样本量
2005,F,Wholesale/Retail,ROA,0.0082000271803294,107
2005,F,Wholesale/Retail,ROE,-0.015291407492706147,107
2005,G,Transport,SLoan,0.1084063207068957,56
2005,G,Transport,LLoan,0.0779302553370865,56
2005,G,Transport,Lev,0.37233940860885156,56
2005,G,Transport,Cash,0.13943176113203873,56
2005,G,Transport,ROA,0.055584973874192194,56
2005,G,Transport,ROE,0.06951172185576153,56
2005,J,Finance,SLoan,0.16273251227221222,37
2005,J,Finance,LLoan,0.06986865722281199,32
2005,J,Finance,Lev,0.596296149305389,44
2005,J,Finance,Cash,0.12933602743665668,39
2005,J,Finance,ROA,-0.021230693681192476,44
2005,J,Finance,ROE,-0.09230306832095186,44
2005,K,Real Estate,SLoan,0.19330607614757564,96
2005,K,Real Estate,LLoan,0.05944657195588728,96
2005,K,Real Estate,Lev,0.5724807130675903,96
2005,K,Real Estate,Cash,0.12685255323832986,96
2005,K,Real Estate,ROA,0.003334601345311892,96
2005,K,Real Estate,ROE,-0.09786111075043319,96
2007,C,Manufacturing,SLoan,0.1661132382156619,796
2007,C,Manufacturing,LLoan,0.04563415960835819,791
2007,C,Manufacturing,Lev,0.49310122125641087,796
2007,C,Manufacturing,Cash,0.15902586262684643,796
2007,C,Manufacturing,ROA,0.04772924340127117,796
2007,C,Manufacturing,ROE,0.09078008667655495,796
2007,D,Utilities,SLoan,0.1669454368166415,82
2007,D,Utilities,LLoan,0.15304000720345176,81
2007,D,Utilities,Lev,0.5494682302725705,82
2007,D,Utilities,Cash,0.08996090435041247,82
2007,D,Utilities,ROA,0.034170072188,82
2007,D,Utilities,ROE,0.07946994076482523,82
2007,E,Construction,SLoan,0.12800938923839222,38
2007,E,Construction,LLoan,0.060922233091181256,38
2007,E,Construction,Lev,0.622715799659446,38
2007,E,Construction,Cash,0.19313820497956333,38
2007,E,Construction,ROA,0.01793449253507915,38
2007,E,Construction,ROE,0.059512475505078266,38
2007,F,Wholesale/Retail,SLoan,0.15941381434601035,110
2007,F,Wholesale/Retail,LLoan,0.04124001504363118,109
2007,F,Wholesale/Retail,Lev,0.5640398063956464,110
2007,F,Wholesale/Retail,Cash,0.17986335881922821,110
2007,F,Wholesale/Retail,ROA,0.04311943609845604,110
2007,F,Wholesale/Retail,ROE,0.10214318476289586,110
2007,G,Transport,SLoan,0.10490210887081639,65
2007,G,Transport,LLoan,0.09696336873237756,61
2007,G,Transport,Lev,0.41179373153242527,65
2007,G,Transport,Cash,0.13074482971247184,65
2007,G,Transport,ROA,0.07559800266543121,65
2007,G,Transport,ROE,0.12747817837019484,65
2007,J,Finance,SLoan,0.06806552770828028,54
2007,J,Finance,LLoan,0.035938487978313394,38
2007,J,Finance,Lev,0.651531500628709,55
2007,J,Finance,Cash,0.17502366231100971,54
2007,J,Finance,ROA,0.0506264622294317,55
2007,J,Finance,ROE,0.17202428213483384,55
2007,K,Real Estate,SLoan,0.1064569552783604,100
2007,K,Real Estate,LLoan,0.10265253919853214,100
2007,K,Real Estate,Lev,0.562026757929576,100
2007,K,Real Estate,Cash,0.1592022140130427,100
2007,K,Real Estate,ROA,0.029953938140996863,100
2007,K,Real Estate,ROE,0.07881542233105635,100
2009,C,Manufacturing,SLoan,0.1371506010734233,924
2009,C,Manufacturing,LLoan,0.053778200174839,921
2009,C,Manufacturing,Lev,0.466886259860485,924
2009,C,Manufacturing,Cash,0.2106075855118831,924
2009,C,Manufacturing,ROA,0.041803271252710834,924
2009,C,Manufacturing,ROE,0.057178321348406655,924
2009,D,Utilities,SLoan,0.15452562918569673,85
2009,D,Utilities,LLoan,0.2002172883326195,85
2009,D,Utilities,Lev,0.5934015443061758,85
2009,D,Utilities,Cash,0.10500447307166101,85
2009,D,Utilities,ROA,0.018752270762819045,85
2009,D,Utilities,ROE,0.02990779502167473,85
2009,E,Construction,SLoan,0.08040413352922444,46
